RGB,Name,R,G,B,Hue,Saturation,Brightness
#F0F8FF,AliceBlue,240,248,255,208.000000,1.000000,0.970588
#FAEBD7,AntiqueWhite,250,235,215,34.285720,0.777778,0.911765
#00FFFF,Aqua,0,255,255,180.000000,1.000000,0.500000
#7FFFD4,Aquamarine,127,255,212,159.843800,1.000000,0.749020
#F0FFFF,Azure,240,255,255,180.000000,1.000000,0.970588
#F5F5DC,Beige,245,245,220,60.000000,0.555556,0.911765
#FFE4C4,Bisque,255,228,196,32.542370,1.000000,0.884314
#000000,Black,0,0,0,0.000000,0.000000,0.000000
#FFEBCD,BlanchedAlmond,255,235,205,36.000000,1.000000,0.901961
#0000FF,Blue,0,0,255,240.000000,1.000000,0.500000
#8A2BE2,BlueViolet,138,43,226,271.147600,0.759336,0.527451
#A52A2A,Brown,165,42,42,0.000001,0.594203,0.405882
#DEB887,BurlyWood,222,184,135,33.793110,0.568628,0.700000
#5F9EA0,CadetBlue,95,158,160,181.846100,0.254902,0.500000
#7FFF00,Chartreuse,127,255,0,90.117650,1.000000,0.500000
#D2691E,Chocolate,210,105,30,25.000000,0.750000,0.470588
#FF7F50,Coral,255,127,80,16.114290,1.000000,0.656863
#6495ED,CornflowerBlue,100,149,237,218.540100,0.791908,0.660784
#FFF8DC,Cornsilk,255,248,220,48.000000,1.000000,0.931373
#DC143C,Crimson,220,20,60,348.000000,0.833333,0.470588
#00FFFF,Cyan,0,255,255,180.000000,1.000000,0.500000
#00008B,DarkBlue,0,0,139,240.000000,1.000000,0.272549
#008B8B,DarkCyan,0,139,139,180.000000,1.000000,0.272549
#B8860B,DarkGoldenrod,184,134,11,42.658960,0.887180,0.382353
#A9A9A9,DarkGray,169,169,169,0.000000,0.000000,0.662745
#006400,DarkGreen,0,100,0,120.000000,1.000000,0.196078
#BDB76B,DarkKhaki,189,183,107,55.609760,0.383178,0.580392
#8B008B,DarkMagenta,139,0,139,300.000000,1.000000,0.272549
#556B2F,DarkOliveGreen,85,107,47,82.000000,0.389610,0.301961
#FF8C00,DarkOrange,255,140,0,32.941180,1.000000,0.500000
#9932CC,DarkOrchid,153,50,204,280.129900,0.606299,0.498039
#8B0000,DarkRed,139,0,0,0.000000,1.000000,0.272549
#E9967A,DarkSalmon,233,150,122,15.135140,0.716129,0.696078
#8FBC8B,DarkSeaGreen,143,188,139,115.102000,0.267760,0.641177
#483D8B,DarkSlateBlue,72,61,139,248.461500,0.390000,0.392157
#2F4F4F,DarkSlateGray,47,79,79,180.000000,0.253968,0.247059
#00CED1,DarkTurquoise,0,206,209,180.861200,1.000000,0.409804
#9400D3,DarkViolet,148,0,211,282.085300,1.000000,0.413726
#FF1493,DeepPink,255,20,147,327.574500,1.000000,0.539216
#00BFFF,DeepSkyBlue,0,191,255,195.058800,1.000000,0.500000
#696969,DimGray,105,105,105,0.000000,0.000000,0.411765
#1E90FF,DodgerBlue,30,144,255,209.600000,1.000000,0.558824
