RGB,Name,Assignments
#F0F8FF,AliceBlue,15
#FAEBD7,AntiqueWhite,3
#00FFFF,Aqua,0
#7FFFD4,Aquamarine,10
#F0FFFF,Azure,15
#F5F5DC,Beige,3
#FFE4C4,Bisque,3
#000000,Black,16
#FFEBCD,BlanchedAlmond,3
#0000FF,Blue,17
#8A2BE2,BlueViolet,11
#A52A2A,Brown,6
#DEB887,BurlyWood,7
#5F9EA0,CadetBlue,9
#7FFF00,Chartreuse,5
#D2691E,Chocolate,19
#FF7F50,Coral,7
#6495ED,CornflowerBlue,9
#FFF8DC,Cornsilk,3
#DC143C,Crimson,2
#00FFFF,Cyan,0
#00008B,DarkBlue,17
#008B8B,DarkCyan,9
#B8860B,DarkGoldenrod,19
#A9A9A9,DarkGray,12
#006400,DarkGreen,14
#BDB76B,DarkKhaki,7
#8B008B,DarkMagenta,2
#556B2F,DarkOliveGreen,14
#FF8C00,DarkOrange,13
#9932CC,DarkOrchid,11
#8B0000,DarkRed,6
#E9967A,DarkSalmon,7
#8FBC8B,DarkSeaGreen,10
#483D8B,DarkSlateBlue,9
#2F4F4F,DarkSlateGray,14
#00CED1,DarkTurquoise,0
#9400D3,DarkViolet,11
#FF1493,DeepPink,18
#00BFFF,DeepSkyBlue,0
#696969,DimGray,12
#1E90FF,DodgerBlue,0
#B22222,Firebrick,6
#FFFAF0,FloralWhite,3
#228B22,ForestGreen,14
#FF00FF,Fuchsia,18
#DCDCDC,Gainsboro,3
#F8F8FF,GhostWhite,15
#FFD700,Gold,13
#DAA520,Goldenrod,13
#808080,Gray,12
#008000,Green,14
#ADFF2F,GreenYellow,5
#F0FFF0,Honeydew,15
#FF69B4,HotPink,4
#CD5C5C,IndianRed,7
#4B0082,Indigo,2
#FFFFF0,Ivory,3
#F0E68C,Khaki,3
#E6E6FA,Lavender,15
#FFF0F5,LavenderBlush,4
#7CFC00,LawnGreen,5
#FFFACD,LemonChiffon,3
#ADD8E6,LightBlue,15
#F08080,LightCoral,7
#E0FFFF,LightCyan,15
#FAFAD2,LightGoldenrodYellow,3
#90EE90,LightGreen,10
#D3D3D3,LightGray,3
#FFB6C1,LightPink,4
#FFA07A,LightSalmon,7
#20B2AA,LightSeaGreen,0
#87CEFA,LightSkyBlue,15
#778899,LightSlateGray,9
#B0C4DE,LightSteelBlue,15
#FFFFE0,LightYellow,3
#00FF00,Lime,1
#32CD32,LimeGreen,14
#FAF0E6,Linen,3
#FF00FF,Magenta,18
#800000,Maroon,6
#66CDAA,MediumAquamarine,10
#0000CD,MediumBlue,17
#BA55D3,MediumOrchid,11
#9370DB,MediumPurple,11
#3CB371,MediumSeaGreen,14
#7B68EE,MediumSlateBlue,11
#00FA9A,MediumSpringGreen,0
#48D1CC,MediumTurquoise,0
#C71585,MediumVioletRed,2
#191970,MidnightBlue,17
#F5FFFA,MintCream,15
#FFE4E1,MistyRose,3
#FFE4B5,Moccasin,3
#FFDEAD,NavajoWhite,3
#000080,Navy,17
#FDF5E6,OldLace,3
#808000,Olive,19
#6B8E23,OliveDrab,19
#FFA500,Orange,13
#FF4500,OrangeRed,8
#DA70D6,Orchid,4
#EEE8AA,PaleGoldenrod,3
#98FB98,PaleGreen,10
#AFEEEE,PaleTurquoise,15
#DB7093,PaleVioletRed,4
#FFEFD5,PapayaWhip,3
#FFDAB9,PeachPuff,3
#CD853F,Peru,7
#FFC0CB,Pink,4
#DDA0DD,Plum,4
#B0E0E6,PowderBlue,15
#800080,Purple,2
#FF0000,Red,8
#BC8F8F,RosyBrown,7
#4169E1,RoyalBlue,9
#8B4513,SaddleBrown,19
#FA8072,Salmon,7
#F4A460,SandyBrown,7
#2E8B57,SeaGreen,14
#FFF5EE,SeaShell,3
#A0522D,Sienna,19
#C0C0C0,Silver,12
#87CEEB,SkyBlue,15
#6A5ACD,SlateBlue,11
#708090,SlateGray,9
#FFFAFA,Snow,3
#00FF7F,SpringGreen,0
#4682B4,SteelBlue,9
#D2B48C,Tan,7
#008080,Teal,9
#D8BFD8,Thistle,4
#FF6347,Tomato,7
#40E0D0,Turquoise,0
#EE82EE,Violet,4
#F5DEB3,Wheat,3
#FFFFFF,White,3
#F5F5F5,WhiteSmoke,3
#FFFF00,Yellow,13
#9ACD32,YellowGreen,5
