RGB,Name,Assignments
#F0F8FF,AliceBlue,0
#FAEBD7,AntiqueWhite,5
#00FFFF,Aqua,17
#7FFFD4,Aquamarine,12
#F0FFFF,Azure,0
#F5F5DC,Beige,15
#FFE4C4,Bisque,5
#000000,Black,14
#FFEBCD,BlanchedAlmond,5
#0000FF,Blue,6
#8A2BE2,BlueViolet,19
#A52A2A,Brown,7
#DEB887,BurlyWood,15
#5F9EA0,CadetBlue,18
#7FFF00,Chartreuse,11
#D2691E,Chocolate,7
#FF7F50,Coral,9
#6495ED,CornflowerBlue,10
#FFF8DC,Cornsilk,5
#DC143C,Crimson,13
#00FFFF,Cyan,17
#00008B,DarkBlue,6
#008B8B,DarkCyan,17
#B8860B,DarkGoldenrod,7
#A9A9A9,DarkGray,2
#006400,DarkGreen,11
#BDB76B,DarkKhaki,16
#8B008B,DarkMagenta,13
#556B2F,DarkOliveGreen,8
#FF8C00,DarkOrange,9
#9932CC,DarkOrchid,19
#8B0000,DarkRed,7
#E9967A,DarkSalmon,15
#8FBC8B,DarkSeaGreen,16
#483D8B,DarkSlateBlue,10
#2F4F4F,DarkSlateGray,18
#00CED1,DarkTurquoise,17
#9400D3,DarkViolet,13
#FF1493,DeepPink,13
#00BFFF,DeepSkyBlue,17
#696969,DimGray,14
#1E90FF,DodgerBlue,17
#B22222,Firebrick,7
#FFFAF0,FloralWhite,5
#228B22,ForestGreen,8
#FF00FF,Fuchsia,13
#DCDCDC,Gainsboro,2
#F8F8FF,GhostWhite,0
#FFD700,Gold,9
#DAA520,Goldenrod,7
#808080,Gray,2
#008000,Green,11
#ADFF2F,GreenYellow,11
#F0FFF0,Honeydew,12
#FF69B4,HotPink,1
#CD5C5C,IndianRed,15
#4B0082,Indigo,6
#FFFFF0,Ivory,5
#F0E68C,Khaki,15
#E6E6FA,Lavender,4
#FFF0F5,LavenderBlush,1
#7CFC00,LawnGreen,11
#FFFACD,LemonChiffon,5
#ADD8E6,LightBlue,4
#F08080,LightCoral,9
#E0FFFF,LightCyan,0
#FAFAD2,LightGoldenrodYellow,5
#90EE90,LightGreen,12
#D3D3D3,LightGray,2
#FFB6C1,LightPink,1
#FFA07A,LightSalmon,9
#20B2AA,LightSeaGreen,17
#87CEFA,LightSkyBlue,0
#778899,LightSlateGray,18
#B0C4DE,LightSteelBlue,4
#FFFFE0,LightYellow,5
#00FF00,Lime,11
#32CD32,LimeGreen,8
#FAF0E6,Linen,15
#FF00FF,Magenta,13
#800000,Maroon,7
#66CDAA,MediumAquamarine,4
#0000CD,MediumBlue,6
#BA55D3,MediumOrchid,19
#9370DB,MediumPurple,10
#3CB371,MediumSeaGreen,8
#7B68EE,MediumSlateBlue,10
#00FA9A,MediumSpringGreen,17
#48D1CC,MediumTurquoise,4
#C71585,MediumVioletRed,13
#191970,MidnightBlue,10
#F5FFFA,MintCream,12
#FFE4E1,MistyRose,5
#FFE4B5,Moccasin,5
#FFDEAD,NavajoWhite,5
#000080,Navy,6
#FDF5E6,OldLace,5
#808000,Olive,11
#6B8E23,OliveDrab,8
#FFA500,Orange,9
#FF4500,OrangeRed,9
#DA70D6,Orchid,19
#EEE8AA,PaleGoldenrod,15
#98FB98,PaleGreen,12
#AFEEEE,PaleTurquoise,4
#DB7093,PaleVioletRed,3
#FFEFD5,PapayaWhip,5
#FFDAB9,PeachPuff,5
#CD853F,Peru,15
#FFC0CB,Pink,1
#DDA0DD,Plum,3
#B0E0E6,PowderBlue,4
#800080,Purple,13
#FF0000,Red,9
#BC8F8F,RosyBrown,2
#4169E1,RoyalBlue,10
#8B4513,SaddleBrown,7
#FA8072,Salmon,9
#F4A460,SandyBrown,9
#2E8B57,SeaGreen,8
#FFF5EE,SeaShell,5
#A0522D,Sienna,7
#C0C0C0,Silver,2
#87CEEB,SkyBlue,4
#6A5ACD,SlateBlue,10
#708090,SlateGray,18
#FFFAFA,Snow,5
#00FF7F,SpringGreen,17
#4682B4,SteelBlue,18
#D2B48C,Tan,15
#008080,Teal,17
#D8BFD8,Thistle,3
#FF6347,Tomato,9
#40E0D0,Turquoise,4
#EE82EE,Violet,19
#F5DEB3,Wheat,15
#FFFFFF,White,2
#F5F5F5,WhiteSmoke,2
#FFFF00,Yellow,9
#9ACD32,YellowGreen,8
