RGB,Name,Assignments
#F0F8FF,AliceBlue,16
#FAEBD7,AntiqueWhite,17
#00FFFF,Aqua,5
#7FFFD4,Aquamarine,16
#F0FFFF,Azure,16
#F5F5DC,Beige,17
#FFE4C4,Bisque,6
#000000,Black,8
#FFEBCD,BlanchedAlmond,6
#0000FF,Blue,12
#8A2BE2,BlueViolet,10
#A52A2A,Brown,13
#DEB887,BurlyWood,13
#5F9EA0,CadetBlue,7
#7FFF00,Chartreuse,2
#D2691E,Chocolate,14
#FF7F50,Coral,2
#6495ED,CornflowerBlue,10
#FFF8DC,Cornsilk,6
#DC143C,Crimson,12
#00FFFF,Cyan,5
#00008B,DarkBlue,5
#008B8B,DarkCyan,5
#B8860B,DarkGoldenrod,2
#A9A9A9,DarkGray,4
#006400,DarkGreen,5
#BDB76B,DarkKhaki,19
#8B008B,DarkMagenta,12
#556B2F,DarkOliveGreen,11
#FF8C00,DarkOrange,2
#9932CC,DarkOrchid,3
#8B0000,DarkRed,2
#E9967A,DarkSalmon,17
#8FBC8B,DarkSeaGreen,19
#483D8B,DarkSlateBlue,18
#2F4F4F,DarkSlateGray,18
#00CED1,DarkTurquoise,5
#9400D3,DarkViolet,12
#FF1493,DeepPink,12
#00BFFF,DeepSkyBlue,5
#696969,DimGray,1
#1E90FF,DodgerBlue,5
#B22222,Firebrick,14
#FFFAF0,FloralWhite,6
#228B22,ForestGreen,15
#FF00FF,Fuchsia,12
#DCDCDC,Gainsboro,4
#F8F8FF,GhostWhite,16
#FFD700,Gold,2
#DAA520,Goldenrod,14
#808080,Gray,1
#008000,Green,5
#ADFF2F,GreenYellow,2
#F0FFF0,Honeydew,16
#FF69B4,HotPink,9
#CD5C5C,IndianRed,13
#4B0082,Indigo,12
#FFFFF0,Ivory,6
#F0E68C,Khaki,17
#E6E6FA,Lavender,0
#FFF0F5,LavenderBlush,9
#7CFC00,LawnGreen,2
#FFFACD,LemonChiffon,6
#ADD8E6,LightBlue,0
#F08080,LightCoral,17
#E0FFFF,LightCyan,16
#FAFAD2,LightGoldenrodYellow,17
#90EE90,LightGreen,17
#D3D3D3,LightGray,4
#FFB6C1,LightPink,9
#FFA07A,LightSalmon,6
#20B2AA,LightSeaGreen,15
#87CEFA,LightSkyBlue,16
#778899,LightSlateGray,7
#B0C4DE,LightSteelBlue,0
#FFFFE0,LightYellow,6
#00FF00,Lime,5
#32CD32,LimeGreen,15
#FAF0E6,Linen,17
#FF00FF,Magenta,12
#800000,Maroon,2
#66CDAA,MediumAquamarine,15
#0000CD,MediumBlue,5
#BA55D3,MediumOrchid,3
#9370DB,MediumPurple,3
#3CB371,MediumSeaGreen,15
#7B68EE,MediumSlateBlue,10
#00FA9A,MediumSpringGreen,5
#48D1CC,MediumTurquoise,15
#C71585,MediumVioletRed,12
#191970,MidnightBlue,18
#F5FFFA,MintCream,16
#FFE4E1,MistyRose,6
#FFE4B5,Moccasin,6
#FFDEAD,NavajoWhite,6
#000080,Navy,5
#FDF5E6,OldLace,6
#808000,Olive,2
#6B8E23,OliveDrab,14
#FFA500,Orange,2
#FF4500,OrangeRed,2
#DA70D6,Orchid,3
#EEE8AA,PaleGoldenrod,17
#98FB98,PaleGreen,16
#AFEEEE,PaleTurquoise,0
#DB7093,PaleVioletRed,3
#FFEFD5,PapayaWhip,6
#FFDAB9,PeachPuff,6
#CD853F,Peru,13
#FFC0CB,Pink,9
#DDA0DD,Plum,3
#B0E0E6,PowderBlue,0
#800080,Purple,12
#FF0000,Red,2
#BC8F8F,RosyBrown,19
#4169E1,RoyalBlue,10
#8B4513,SaddleBrown,14
#FA8072,Salmon,6
#F4A460,SandyBrown,17
#2E8B57,SeaGreen,15
#FFF5EE,SeaShell,6
#A0522D,Sienna,13
#C0C0C0,Silver,4
#87CEEB,SkyBlue,10
#6A5ACD,SlateBlue,3
#708090,SlateGray,7
#FFFAFA,Snow,6
#00FF7F,SpringGreen,5
#4682B4,SteelBlue,18
#D2B48C,Tan,19
#008080,Teal,5
#D8BFD8,Thistle,7
#FF6347,Tomato,2
#40E0D0,Turquoise,10
#EE82EE,Violet,3
#F5DEB3,Wheat,17
#FFFFFF,White,4
#F5F5F5,WhiteSmoke,4
#FFFF00,Yellow,2
#9ACD32,YellowGreen,13
