RGB,Name,Assignments
#DC9FB4,撫子,2
#E16B8C,紅梅,2
#8E354A,蘇芳,2
#F8C3CD,退紅,2
#F4A7B9,一斥染,2
#64363C,桑染,2
#F596AA,桃,2
#B5495B,苺,2
#E87A90,薄紅,2
#D05A6E,今様,2
#DB4D6D,中紅,2
#FEDFE1,桜,2
#9E7A7A,梅鼠,9
#D0104C,韓紅花,2
#9F353A,燕脂,2
#CB1B45,紅,2
#EEA9A9,鴇,9
#BF6766,長春,9
#86473F,深緋,9
#B19693,桜鼠,9
#EB7A77,甚三紅,9
#954A45,小豆,9
#A96360,蘇芳香,9
#CB4042,赤紅,2
#AB3B3A,真朱,9
#D7C4BB,灰桜,9
#904840,栗梅,9
#734338,海老茶,9
#C73E3A,銀朱,9
#554236,黒鳶,9
#994639,紅鳶,9
#F19483,曙,9
#B54434,紅樺,9
#B9887D,水がき,9
#F17C67,珊瑚朱,9
#884C3A,紅檜皮,9
#E83015,猩猩緋,9
#D75455,鉛丹,2
#B55D4C,芝翫茶,9
#854836,檜皮,9
#A35E47,柿渋,9
#CC543A,緋,9
#724832,鳶,9
#F75C2F,紅緋,9
#6A4028,栗皮茶,9
#9A5034,弁柄,9
#C46243,照柿,9
#AF5F3C,江戸茶,9
#FB966E,洗朱,9
#724938,百塩茶,9
#B47157,唐茶,9
#DB8E71,ときがら茶,9
#F05E1C,黄丹,9
#ED784A,纁,9
#CA7853,遠州茶,9
#B35C37,樺茶,9
#563F2E,焦茶,9
#E3916E,赤香,9
#8F5A3C,雀茶,9
#F0A986,宍,9
#A0674B,宗伝唐茶,9
#C1693C,樺,9
#FB9966,深支子,9
#947A6D,胡桃,9
#A36336,代赭,9
#E79460,洗柿,9
#7D532C,黄櫨染,9
#C78550,赤朽葉,9
#985F2A,礪茶,9
#E1A679,赤白橡,9
#855B32,煎茶,9
#FC9F4D,萱草,9
#FFBA84,洒落柿,9
#E98B2A,紅鬱金,9
#E9A368,梅染,9
#B17844,枇杷茶,9
#96632E,丁子茶,9
#43341B,憲法染,0
#CA7A2C,琥珀,9
#ECB88A,薄柿,9
#78552B,伽羅,9
#B07736,丁子染,9
#967249,柴染,9
#E2943B,朽葉,9
#C7802D,金茶,9
#9B6E23,狐,0
#6E552F,煤竹,0
#EBB471,薄香,9
#D7B98E,砥粉,0
#82663A,銀煤竹,0
#B68E55,黄土,0
#BC9F77,白茶,0
#876633,媚茶,0
#C18A26,黄唐茶,0
#FFB11B,山吹,0
#D19826,山吹茶,0
#DDA52D,櫨染,0
#C99833,桑茶,0
#F9BF45,玉子,0
#DCB879,白橡,0
#BA9132,黄橡,0
#E8B647,玉蜀黍,0
#F7C242,花葉,0
#7D6C46,生壁,0
#DAC9A6,鳥の子,0
#FAD689,浅黄,0
#D9AB42,黄朽葉,0
#F6C555,梔子,0
#FFC408,籐黄,0
#EFBB24,鬱金,0
#CAAD5F,芥子,0
#8D742A,肥後煤竹,0
#B4A582,利休白茶,0
#877F6C,灰汁,0
#897D55,利休茶,0
#74673E,路考茶,0
#A28C37,菜種油,0
#6C6024,鶯茶,0
#867835,黄海松茶,0
#62592C,海松茶,0
#E9CD4C,刈安,0
#F7D94C,菜の花,0
#FBE251,黄蘗,0
#D9CD90,蒸栗,0
#ADA142,青朽葉,0
#DDD23B,女郎花,0
#A5A051,鶸茶,0
#BEC23F,鶸,0
#6C6A2D,鶯,0
#939650,柳茶,0
#838A2D,苔,0
#B1B479,麹塵,0
#616138,璃寛茶,0
#4B4E2A,藍媚茶,0
#5B622E,海松,0
#4D5139,千歳茶,0
#89916B,梅幸茶,0
#90B44B,鶸萌黄,0
#91AD70,柳染,8
#B5CAA0,裏柳,8
#646A58,岩井茶,0
#7BA23F,萌黄,0
#86C166,苗,8
#4A593D,柳煤竹,8
#42602D,松葉,8
#516E41,青丹,8
#91B493,薄青,8
#808F7C,柳鼠,8
