RGB,Name,Assignments
#F0F8FF,AliceBlue,4
#FAEBD7,AntiqueWhite,5
#00FFFF,Aqua,2
#7FFFD4,Aquamarine,3
#F0FFFF,Azure,4
#F5F5DC,Beige,5
#FFE4C4,Bisque,8
#000000,Black,7
#FFEBCD,BlanchedAlmond,8
#0000FF,Blue,9
#8A2BE2,BlueViolet,10
#A52A2A,Brown,11
#DEB887,BurlyWood,12
#5F9EA0,CadetBlue,13
#7FFF00,Chartreuse,14
#D2691E,Chocolate,15
#FF7F50,Coral,16
#6495ED,CornflowerBlue,17
#FFF8DC,Cornsilk,5
#DC143C,Crimson,19
#00FFFF,Cyan,2
#00008B,DarkBlue,9
#008B8B,DarkCyan,13
#B8860B,DarkGoldenrod,15
#A9A9A9,DarkGray,12
#006400,DarkGreen,7
#BDB76B,DarkKhaki,12
#8B008B,DarkMagenta,10
#556B2F,DarkOliveGreen,7
#FF8C00,DarkOrange,15
#9932CC,DarkOrchid,10
#8B0000,DarkRed,11
#E9967A,DarkSalmon,16
#8FBC8B,DarkSeaGreen,12
#483D8B,DarkSlateBlue,13
#2F4F4F,DarkSlateGray,7
#00CED1,DarkTurquoise,2
#9400D3,DarkViolet,10
#FF1493,DeepPink,19
#00BFFF,DeepSkyBlue,2
#696969,DimGray,13
#1E90FF,DodgerBlue,17
#B22222,Firebrick,11
#FFFAF0,FloralWhite,18
#228B22,ForestGreen,7
#FF00FF,Fuchsia,10
#DCDCDC,Gainsboro,5
#F8F8FF,GhostWhite,0
#FFD700,Gold,15
#DAA520,Goldenrod,15
#808080,Gray,13
#008000,Green,7
#ADFF2F,GreenYellow,14
#F0FFF0,Honeydew,4
#FF69B4,HotPink,12
#CD5C5C,IndianRed,16
#4B0082,Indigo,9
#FFFFF0,Ivory,18
#F0E68C,Khaki,6
#E6E6FA,Lavender,0
#FFF0F5,LavenderBlush,0
#7CFC00,LawnGreen,14
#FFFACD,LemonChiffon,8
#ADD8E6,LightBlue,3
#F08080,LightCoral,16
#E0FFFF,LightCyan,4
#FAFAD2,LightGoldenrodYellow,5
#90EE90,LightGreen,3
#D3D3D3,LightGray,1
#FFB6C1,LightPink,6
#FFA07A,LightSalmon,16
#20B2AA,LightSeaGreen,13
#87CEFA,LightSkyBlue,3
#778899,LightSlateGray,13
#B0C4DE,LightSteelBlue,1
#FFFFE0,LightYellow,18
#00FF00,Lime,14
#32CD32,LimeGreen,14
#FAF0E6,Linen,5
#FF00FF,Magenta,10
#800000,Maroon,11
#66CDAA,MediumAquamarine,3
#0000CD,MediumBlue,9
#BA55D3,MediumOrchid,10
#9370DB,MediumPurple,17
#3CB371,MediumSeaGreen,13
#7B68EE,MediumSlateBlue,17
#00FA9A,MediumSpringGreen,2
#48D1CC,MediumTurquoise,2
#C71585,MediumVioletRed,19
#191970,MidnightBlue,9
#F5FFFA,MintCream,4
#FFE4E1,MistyRose,5
#FFE4B5,Moccasin,6
#FFDEAD,NavajoWhite,6
#000080,Navy,9
#FDF5E6,OldLace,18
#808000,Olive,11
#6B8E23,OliveDrab,7
#FFA500,Orange,15
#FF4500,OrangeRed,15
#DA70D6,Orchid,1
#EEE8AA,PaleGoldenrod,6
#98FB98,PaleGreen,3
#AFEEEE,PaleTurquoise,3
#DB7093,PaleVioletRed,12
#FFEFD5,PapayaWhip,5
#FFDAB9,PeachPuff,6
#CD853F,Peru,16
#FFC0CB,Pink,6
#DDA0DD,Plum,1
#B0E0E6,PowderBlue,3
#800080,Purple,10
#FF0000,Red,19
#BC8F8F,RosyBrown,12
#4169E1,RoyalBlue,17
#8B4513,SaddleBrown,11
#FA8072,Salmon,16
#F4A460,SandyBrown,16
#2E8B57,SeaGreen,13
#FFF5EE,SeaShell,18
#A0522D,Sienna,11
#C0C0C0,Silver,1
#87CEEB,SkyBlue,3
#6A5ACD,SlateBlue,17
#708090,SlateGray,13
#FFFAFA,Snow,0
#00FF7F,SpringGreen,2
#4682B4,SteelBlue,13
#D2B48C,Tan,12
#008080,Teal,13
#D8BFD8,Thistle,1
#FF6347,Tomato,16
#40E0D0,Turquoise,2
#EE82EE,Violet,1
#F5DEB3,Wheat,6
#FFFFFF,White,4
#F5F5F5,WhiteSmoke,0
#FFFF00,Yellow,15
#9ACD32,YellowGreen,14
